id,term,part_of_speech,definition,pronunciation,synonyms,example,topic,subtopic,category,source_url
IELTS-VOCAB-0357,maintain order,phrase,"To preserve public peace, stability, and adherence to law.",,,"During large-scale civil emergencies, peacekeeping forces are deployed to maintain order and safeguard public assets.",Government,3. Useful Government Vocabulary,Detailed Lists for Word Power,https://ieltsliz.com/government-vocabulary-word-lists/
IELTS-VOCAB-0358,monarchy,noun,"An official institution, governmental body, or political authority: monarchy.",,,"Political scientists argue that an accountable, transparent monarchy is fundamental to maintaining democratic legitimacy.",Government,2. Synonyms & Types of Government,Detailed Lists for Word Power,https://ieltsliz.com/government-vocabulary-word-lists/
IELTS-VOCAB-0359,organise a petition,phrase,To collect signatures from citizens urging governmental authorities to take action.,,,Grassroots environmental activists often organise a petition to demand strict emission controls from parliament.,Government,3. Useful Government Vocabulary,Detailed Lists for Word Power,https://ieltsliz.com/government-vocabulary-word-lists/
IELTS-VOCAB-0360,organise a public meeting,phrase,To coordinate an open civic gathering for public debate and discussion.,,,Municipal town councilors met to organise a public meeting where residents could air urban redevelopment concerns.,Government,3. Useful Government Vocabulary,Detailed Lists for Word Power,https://ieltsliz.com/government-vocabulary-word-lists/
IELTS-VOCAB-0361,policies,noun,A course or principle of action adopted or proposed by a government or organization.,,,Public health authorities introduced evidence-based policies to combat chronic lifestyle diseases across the population.,Government,3. Useful Government Vocabulary,Detailed Lists for Word Power,https://ieltsliz.com/government-vocabulary-word-lists/
IELTS-VOCAB-0362,political party,noun,"An official institution, governmental body, or political authority: political party.",,,"Political scientists argue that an accountable, transparent political party is fundamental to maintaining democratic legitimacy.",Government,3. Useful Government Vocabulary,Detailed Lists for Word Power,https://ieltsliz.com/government-vocabulary-word-lists/
IELTS-VOCAB-0363,politicians,noun (plural),"Persons who are professionally involved in politics, especially as elected members of parliament.",,,Citizens expect elected politicians to prioritize long-term public welfare over short-term partisan interests.,Government,3. Useful Government Vocabulary,Detailed Lists for Word Power,https://ieltsliz.com/government-vocabulary-word-lists/
IELTS-VOCAB-0364,put up posters,phrase,To display public placards or advertisements on noticeboards or walls.,,,Campaign volunteers walked through downtown districts to put up posters advertising the upcoming mayoral debate.,Government,3. Useful Government Vocabulary,Detailed Lists for Word Power,https://ieltsliz.com/government-vocabulary-word-lists/
IELTS-VOCAB-0365,regime,noun,"An official institution, governmental body, or political authority: regime.",,,"Political scientists argue that an accountable, transparent regime is fundamental to maintaining democratic legitimacy.",Government,2. Synonyms & Types of Government,Detailed Lists for Word Power,https://ieltsliz.com/government-vocabulary-word-lists/
IELTS-VOCAB-0366,republic,noun,"An official institution, governmental body, or political authority: republic.",,,"Political scientists argue that an accountable, transparent republic is fundamental to maintaining democratic legitimacy.",Government,2. Synonyms & Types of Government,Detailed Lists for Word Power,https://ieltsliz.com/government-vocabulary-word-lists/
IELTS-VOCAB-0367,rights,noun,Moral or legal entitlements to have or obtain something or to act in a certain way.,,,Constitutional jurisprudence guarantees that fundamental human rights are protected from executive overreach.,Government,3. Useful Government Vocabulary,Detailed Lists for Word Power,https://ieltsliz.com/government-vocabulary-word-lists/
IELTS-VOCAB-0368,speak at public meetings,phrase,To address civic gatherings on matters of community welfare or policy.,,,Community representatives regularly speak at public meetings to ensure neighborhood perspectives are heard.,Government,3. Useful Government Vocabulary,Detailed Lists for Word Power,https://ieltsliz.com/government-vocabulary-word-lists/
IELTS-VOCAB-0369,state government,noun,"An official institution, governmental body, or political authority: state government.",,,"Political scientists argue that an accountable, transparent state government is fundamental to maintaining democratic legitimacy.",Government,3. Useful Government Vocabulary,Detailed Lists for Word Power,https://ieltsliz.com/government-vocabulary-word-lists/
IELTS-VOCAB-0371,taxes,noun,Compulsory financial contributions levied by government on workers' income and business profits.,,,Revenues generated from progressive corporate taxes are reinvested in public education and transportation infrastructure.,Government,3. Useful Government Vocabulary,Detailed Lists for Word Power,https://ieltsliz.com/government-vocabulary-word-lists/
IELTS-VOCAB-0372,the administration,noun,The government in office; executive management of public affairs.,,,The policy directives issued by the administration placed sustainable infrastructure at the forefront of the economic recovery plan.,Government,2. Synonyms & Types of Government,Detailed Lists for Word Power,https://ieltsliz.com/government-vocabulary-word-lists/
IELTS-VOCAB-0373,the authorities,noun,The governing officials or administrators exercising legal power.,,,"During a civil emergency, transparent communication from the authorities is essential for preventing public panic.",Government,2. Synonyms & Types of Government,Detailed Lists for Word Power,https://ieltsliz.com/government-vocabulary-word-lists/
IELTS-VOCAB-0374,the central government,noun,The national executive authority of a sovereign country.,,,Regional governors requested emergency disaster relief funding directly from the central government.,Government,2. Synonyms & Types of Government,Detailed Lists for Word Power,https://ieltsliz.com/government-vocabulary-word-lists/
IELTS-VOCAB-0375,the leadership,noun,The individuals who guide or direct a government or political organization.,,,"During periods of socioeconomic crisis, citizens expect the leadership to demonstrate transparency, strategic vision, and decisiveness.",Government,2. Synonyms & Types of Government,Detailed Lists for Word Power,https://ieltsliz.com/government-vocabulary-word-lists/
IELTS-VOCAB-0376,the local government,noun,"The administration of a town, county, or district by locally elected representatives.",,,Municipal services such as waste collection and park maintenance are administered by the local government.,Government,2. Synonyms & Types of Government,Detailed Lists for Word Power,https://ieltsliz.com/government-vocabulary-word-lists/
IELTS-VOCAB-0377,the people in authority,phrase,Officials holding statutory leadership and decision-making power.,,,Democratic accountability demands that the people in authority remain subject to the rule of law.,Government,2. Synonyms & Types of Government,Detailed Lists for Word Power,https://ieltsliz.com/government-vocabulary-word-lists/
IELTS-VOCAB-0378,the political system,noun,The coordinated framework of government institutions and processes in a country.,,,Constitutional checks and balances prevent authoritarian overreach within the political system.,Government,2. Synonyms & Types of Government,Detailed Lists for Word Power,https://ieltsliz.com/government-vocabulary-word-lists/
IELTS-VOCAB-0379,those in power,phrase,The individuals or groups currently exercising political governance.,,,Investigative journalists play an essential watchdog role in holding those in power accountable to the public.,Government,2. Synonyms & Types of Government,Detailed Lists for Word Power,https://ieltsliz.com/government-vocabulary-word-lists/
IELTS-VOCAB-0380,to abide by a law,phrase,"To respect, follow, and obey legal rules and statutory obligations.",,,Every resident has an undeniable civic responsibility to abide by a law enacted by the democratic legislature.,Government,3. Useful Government Vocabulary,Detailed Lists for Word Power,https://ieltsliz.com/government-vocabulary-word-lists/
